File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
MPM_p_0.12_nVertices_100_maxValue_10.txt,MPM,0.12,100,10,0.000499,0.0,0.0005,0.0,0.0
EK_p_0.12_nVertices_100_maxValue_10.txt,EK,0.12,100,10,0.000497,0.0005,0.0,0.000499,0.0005
Dinic_p_0.12_nVertices_100_maxValue_10.txt,Dinic,0.12,100,10,0.0,0.0,0.0,0.0,0.0
MPM_p_0.12_nVertices_100_maxValue_20.txt,MPM,0.12,100,20,0.000499,0.0,0.0005,0.000499,0.0
EK_p_0.12_nVertices_100_maxValue_20.txt,EK,0.12,100,20,0.0,0.0,0.0,0.0,0.0
Dinic_p_0.12_nVertices_100_maxValue_20.txt,Dinic,0.12,100,20,0.0,0.0,0.0,0.0,0.0
MPM_p_0.12_nVertices_100_maxValue_30.txt,MPM,0.12,100,30,0.0,0.0005,0.0005,0.0,0.0
EK_p_0.12_nVertices_100_maxValue_30.txt,EK,0.12,100,30,0.000499,0.0,0.0,0.0,0.0
Dinic_p_0.12_nVertices_100_maxValue_30.txt,Dinic,0.12,100,30,0.0,0.0,0.000498,0.0,0.0
MPM_p_0.12_nVertices_100_maxValue_50.txt,MPM,0.12,100,50,0.0,0.000497,0.0005,0.0,0.0
EK_p_0.12_nVertices_100_maxValue_50.txt,EK,0.12,100,50,0.0,0.0,0.0,0.0005,0.0
Dinic_p_0.12_nVertices_100_maxValue_50.txt,Dinic,0.12,100,50,0.0005,0.0,0.0,0.0005,0.0
MPM_p_0.12_nVertices_100_maxValue_80.txt,MPM,0.12,100,80,0.0,0.0,0.000499,0.0005,0.0
EK_p_0.12_nVertices_100_maxValue_80.txt,EK,0.12,100,80,0.0,0.000499,0.0,0.0,0.0
Dinic_p_0.12_nVertices_100_maxValue_80.txt,Dinic,0.12,100,80,0.0,0.0,0.0,0.0,0.0
MPM_p_0.12_nVertices_100_maxValue_130.txt,MPM,0.12,100,130,0.000501,0.000499,0.000498,0.0,0.000499
EK_p_0.12_nVertices_100_maxValue_130.txt,EK,0.12,100,130,0.0,0.0,0.000501,0.0,0.0
Dinic_p_0.12_nVertices_100_maxValue_130.txt,Dinic,0.12,100,130,0.0005,0.0,0.0,0.0,0.0
MPM_p_0.12_nVertices_100_maxValue_210.txt,MPM,0.12,100,210,0.0,0.0,0.000499,0.0,0.000499
