File,Algorithm,P,n_vertices,max_cap,MeanTime
MPM_p_0.25_nVertices_100_maxValue_10.txt,MPM,0.25,100,10,0.0002
EK_p_0.25_nVertices_100_maxValue_10.txt,EK,0.25,100,10,0.00030000000000000003
Dinic_p_0.25_nVertices_100_maxValue_10.txt,Dinic,0.25,100,10,0.0001
MPM_p_0.25_nVertices_100_maxValue_20.txt,MPM,0.25,100,20,0.0004998
EK_p_0.25_nVertices_100_maxValue_20.txt,EK,0.25,100,20,0.00039979999999999996
Dinic_p_0.25_nVertices_100_maxValue_20.txt,Dinic,0.25,100,20,0.0001
MPM_p_0.25_nVertices_100_maxValue_30.txt,MPM,0.25,100,30,0.0004002
EK_p_0.25_nVertices_100_maxValue_30.txt,EK,0.25,100,30,0.0005
Dinic_p_0.25_nVertices_100_maxValue_30.txt,Dinic,0.25,100,30,0.00020020000000000004
MPM_p_0.25_nVertices_100_maxValue_50.txt,MPM,0.25,100,50,0.0004
EK_p_0.25_nVertices_100_maxValue_50.txt,EK,0.25,100,50,0.00030000000000000003
Dinic_p_0.25_nVertices_100_maxValue_50.txt,Dinic,0.25,100,50,0.0001
MPM_p_0.25_nVertices_100_maxValue_80.txt,MPM,0.25,100,80,0.00030000000000000003
EK_p_0.25_nVertices_100_maxValue_80.txt,EK,0.25,100,80,0.0004998000000000001
Dinic_p_0.25_nVertices_100_maxValue_80.txt,Dinic,0.25,100,80,0.0001
MPM_p_0.25_nVertices_100_maxValue_130.txt,MPM,0.25,100,130,0.0004002
EK_p_0.25_nVertices_100_maxValue_130.txt,EK,0.25,100,130,0.0002996
Dinic_p_0.25_nVertices_100_maxValue_130.txt,Dinic,0.25,100,130,0.0001
MPM_p_0.25_nVertices_100_maxValue_210.txt,MPM,0.25,100,210,0.00030000000000000003
EK_p_0.25_nVertices_100_maxValue_210.txt,EK,0.25,100,210,0.0005004
Dinic_p_0.25_nVertices_100_maxValue_210.txt,Dinic,0.25,100,210,0.0002
MPM_p_0.25_nVertices_100_maxValue_340.txt,MPM,0.25,100,340,0.0004
EK_p_0.25_nVertices_100_maxValue_340.txt,EK,0.25,100,340,0.0004
Dinic_p_0.25_nVertices_100_maxValue_340.txt,Dinic,0.25,100,340,0.0
MPM_p_0.25_nVertices_100_maxValue_500.txt,MPM,0.25,100,500,0.00039959999999999996
EK_p_0.25_nVertices_100_maxValue_500.txt,EK,0.25,100,500,0.0004996
Dinic_p_0.25_nVertices_100_maxValue_500.txt,Dinic,0.25,100,500,0.00020020000000000004
MPM_p_0.25_nVertices_200_maxValue_10.txt,MPM,0.25,200,10,0.0016002
EK_p_0.25_nVertices_200_maxValue_10.txt,EK,0.25,200,10,0.0018
Dinic_p_0.25_nVertices_200_maxValue_10.txt,Dinic,0.25,200,10,0.0004
MPM_p_0.25_nVertices_200_maxValue_20.txt,MPM,0.25,200,20,0.0015
EK_p_0.25_nVertices_200_maxValue_20.txt,EK,0.25,200,20,0.0030004000000000003
Dinic_p_0.25_nVertices_200_maxValue_20.txt,Dinic,0.25,200,20,0.0004
MPM_p_0.25_nVertices_200_maxValue_30.txt,MPM,0.25,200,30,0.0013999999999999998
EK_p_0.25_nVertices_200_maxValue_30.txt,EK,0.25,200,30,0.0031002
Dinic_p_0.25_nVertices_200_maxValue_30.txt,Dinic,0.25,200,30,0.0005
MPM_p_0.25_nVertices_200_maxValue_50.txt,MPM,0.25,200,50,0.0013998
EK_p_0.25_nVertices_200_maxValue_50.txt,EK,0.25,200,50,0.0026996
Dinic_p_0.25_nVertices_200_maxValue_50.txt,Dinic,0.25,200,50,0.0005
MPM_p_0.25_nVertices_200_maxValue_80.txt,MPM,0.25,200,80,0.0017996000000000002
EK_p_0.25_nVertices_200_maxValue_80.txt,EK,0.25,200,80,0.0032
Dinic_p_0.25_nVertices_200_maxValue_80.txt,Dinic,0.25,200,80,0.00030020000000000003
MPM_p_0.25_nVertices_200_maxValue_130.txt,MPM,0.25,200,130,0.0016996000000000001
EK_p_0.25_nVertices_200_maxValue_130.txt,EK,0.25,200,130,0.0031
Dinic_p_0.25_nVertices_200_maxValue_130.txt,Dinic,0.25,200,130,0.0004998
MPM_p_0.25_nVertices_200_maxValue_210.txt,MPM,0.25,200,210,0.0022998000000000003
EK_p_0.25_nVertices_200_maxValue_210.txt,EK,0.25,200,210,0.0043996
Dinic_p_0.25_nVertices_200_maxValue_210.txt,Dinic,0.25,200,210,0.0006004000000000001
MPM_p_0.25_nVertices_200_maxValue_340.txt,MPM,0.25,200,340,0.0021004
EK_p_0.25_nVertices_200_maxValue_340.txt,EK,0.25,200,340,0.003
Dinic_p_0.25_nVertices_200_maxValue_340.txt,Dinic,0.25,200,340,0.0005
MPM_p_0.25_nVertices_200_maxValue_500.txt,MPM,0.25,200,500,0.0018002
EK_p_0.25_nVertices_200_maxValue_500.txt,EK,0.25,200,500,0.0050994000000000005
Dinic_p_0.25_nVertices_200_maxValue_500.txt,Dinic,0.25,200,500,0.0005
MPM_p_0.25_nVertices_300_maxValue_10.txt,MPM,0.25,300,10,0.0042008
EK_p_0.25_nVertices_300_maxValue_10.txt,EK,0.25,300,10,0.008700199999999998
Dinic_p_0.25_nVertices_300_maxValue_10.txt,Dinic,0.25,300,10,0.0008996000000000001
MPM_p_0.25_nVertices_300_maxValue_20.txt,MPM,0.25,300,20,0.0054004
EK_p_0.25_nVertices_300_maxValue_20.txt,EK,0.25,300,20,0.0107004
Dinic_p_0.25_nVertices_300_maxValue_20.txt,Dinic,0.25,300,20,0.0020000000000000005
MPM_p_0.25_nVertices_300_maxValue_30.txt,MPM,0.25,300,30,0.0041006
EK_p_0.25_nVertices_300_maxValue_30.txt,EK,0.25,300,30,0.013601199999999999
Dinic_p_0.25_nVertices_300_maxValue_30.txt,Dinic,0.25,300,30,0.0016008
MPM_p_0.25_nVertices_300_maxValue_50.txt,MPM,0.25,300,50,0.0052994
EK_p_0.25_nVertices_300_maxValue_50.txt,EK,0.25,300,50,0.012901000000000001
Dinic_p_0.25_nVertices_300_maxValue_50.txt,Dinic,0.25,300,50,0.0009999999999999998
MPM_p_0.25_nVertices_300_maxValue_80.txt,MPM,0.25,300,80,0.004900799999999999
EK_p_0.25_nVertices_300_maxValue_80.txt,EK,0.25,300,80,0.0153
Dinic_p_0.25_nVertices_300_maxValue_80.txt,Dinic,0.25,300,80,0.0014
MPM_p_0.25_nVertices_300_maxValue_130.txt,MPM,0.25,300,130,0.0045998
EK_p_0.25_nVertices_300_maxValue_130.txt,EK,0.25,300,130,0.015000400000000002
Dinic_p_0.25_nVertices_300_maxValue_130.txt,Dinic,0.25,300,130,0.0014002
MPM_p_0.25_nVertices_300_maxValue_210.txt,MPM,0.25,300,210,0.0052
EK_p_0.25_nVertices_300_maxValue_210.txt,EK,0.25,300,210,0.019100200000000005
Dinic_p_0.25_nVertices_300_maxValue_210.txt,Dinic,0.25,300,210,0.0010004
MPM_p_0.25_nVertices_300_maxValue_340.txt,MPM,0.25,300,340,0.0044989999999999995
EK_p_0.25_nVertices_300_maxValue_340.txt,EK,0.25,300,340,0.0157998
Dinic_p_0.25_nVertices_300_maxValue_340.txt,Dinic,0.25,300,340,0.0015006
MPM_p_0.25_nVertices_300_maxValue_500.txt,MPM,0.25,300,500,0.0044994
EK_p_0.25_nVertices_300_maxValue_500.txt,EK,0.25,300,500,0.015900400000000002
Dinic_p_0.25_nVertices_300_maxValue_500.txt,Dinic,0.25,300,500,0.0013
MPM_p_0.25_nVertices_500_maxValue_10.txt,MPM,0.25,500,10,0.0128
EK_p_0.25_nVertices_500_maxValue_10.txt,EK,0.25,500,10,0.0365002
Dinic_p_0.25_nVertices_500_maxValue_10.txt,Dinic,0.25,500,10,0.0036996
MPM_p_0.25_nVertices_500_maxValue_20.txt,MPM,0.25,500,20,0.0141006
EK_p_0.25_nVertices_500_maxValue_20.txt,EK,0.25,500,20,0.041499799999999996
Dinic_p_0.25_nVertices_500_maxValue_20.txt,Dinic,0.25,500,20,0.0049
MPM_p_0.25_nVertices_500_maxValue_30.txt,MPM,0.25,500,30,0.0128996
EK_p_0.25_nVertices_500_maxValue_30.txt,EK,0.25,500,30,0.0536
Dinic_p_0.25_nVertices_500_maxValue_30.txt,Dinic,0.25,500,30,0.0046996
MPM_p_0.25_nVertices_500_maxValue_50.txt,MPM,0.25,500,50,0.0120998
EK_p_0.25_nVertices_500_maxValue_50.txt,EK,0.25,500,50,0.063499
Dinic_p_0.25_nVertices_500_maxValue_50.txt,Dinic,0.25,500,50,0.0030998000000000006
MPM_p_0.25_nVertices_500_maxValue_80.txt,MPM,0.25,500,80,0.0146004
EK_p_0.25_nVertices_500_maxValue_80.txt,EK,0.25,500,80,0.0383998
Dinic_p_0.25_nVertices_500_maxValue_80.txt,Dinic,0.25,500,80,0.0046002000000000005
MPM_p_0.25_nVertices_500_maxValue_130.txt,MPM,0.25,500,130,0.0147002
EK_p_0.25_nVertices_500_maxValue_130.txt,EK,0.25,500,130,0.0653998
Dinic_p_0.25_nVertices_500_maxValue_130.txt,Dinic,0.25,500,130,0.0044006
MPM_p_0.25_nVertices_500_maxValue_210.txt,MPM,0.25,500,210,0.0128998
EK_p_0.25_nVertices_500_maxValue_210.txt,EK,0.25,500,210,0.0723996
Dinic_p_0.25_nVertices_500_maxValue_210.txt,Dinic,0.25,500,210,0.0044002
MPM_p_0.25_nVertices_500_maxValue_340.txt,MPM,0.25,500,340,0.0118006
EK_p_0.25_nVertices_500_maxValue_340.txt,EK,0.25,500,340,0.0572002
Dinic_p_0.25_nVertices_500_maxValue_340.txt,Dinic,0.25,500,340,0.004601
MPM_p_0.25_nVertices_500_maxValue_500.txt,MPM,0.25,500,500,0.013899600000000002
EK_p_0.25_nVertices_500_maxValue_500.txt,EK,0.25,500,500,0.1034998
Dinic_p_0.25_nVertices_500_maxValue_500.txt,Dinic,0.25,500,500,0.0062006
MPM_p_0.25_nVertices_800_maxValue_10.txt,MPM,0.25,800,10,0.038699800000000006
EK_p_0.25_nVertices_800_maxValue_10.txt,EK,0.25,800,10,0.14370000000000002
Dinic_p_0.25_nVertices_800_maxValue_10.txt,Dinic,0.25,800,10,0.0083006
MPM_p_0.25_nVertices_800_maxValue_20.txt,MPM,0.25,800,20,0.03569979999999999
EK_p_0.25_nVertices_800_maxValue_20.txt,EK,0.25,800,20,0.1890002
Dinic_p_0.25_nVertices_800_maxValue_20.txt,Dinic,0.25,800,20,0.0164996
MPM_p_0.25_nVertices_800_maxValue_30.txt,MPM,0.25,800,30,0.0438012
EK_p_0.25_nVertices_800_maxValue_30.txt,EK,0.25,800,30,0.2152
Dinic_p_0.25_nVertices_800_maxValue_30.txt,Dinic,0.25,800,30,0.0165002
MPM_p_0.25_nVertices_800_maxValue_50.txt,MPM,0.25,800,50,0.04409980000000001
EK_p_0.25_nVertices_800_maxValue_50.txt,EK,0.25,800,50,0.16019999999999998
