File,Algorithm,P,n_vertices,max_cap,MeanTime
MPM_p_0.15_nVertices_100_maxValue_10.txt,MPM,0.15,100,10,0.0004
EK_p_0.15_nVertices_100_maxValue_10.txt,EK,0.15,100,10,0.0001996
Dinic_p_0.15_nVertices_100_maxValue_10.txt,Dinic,0.15,100,10,9.98e-05
MPM_p_0.15_nVertices_100_maxValue_20.txt,MPM,0.15,100,20,9.98e-05
EK_p_0.15_nVertices_100_maxValue_20.txt,EK,0.15,100,20,0.00029979999999999997
Dinic_p_0.15_nVertices_100_maxValue_20.txt,Dinic,0.15,100,20,0.0
MPM_p_0.15_nVertices_100_maxValue_30.txt,MPM,0.15,100,30,0.00020020000000000004
EK_p_0.15_nVertices_100_maxValue_30.txt,EK,0.15,100,30,0.0002
Dinic_p_0.15_nVertices_100_maxValue_30.txt,Dinic,0.15,100,30,0.0001
MPM_p_0.15_nVertices_100_maxValue_50.txt,MPM,0.15,100,50,0.00039939999999999995
EK_p_0.15_nVertices_100_maxValue_50.txt,EK,0.15,100,50,0.00019979999999999998
Dinic_p_0.15_nVertices_100_maxValue_50.txt,Dinic,0.15,100,50,0.00010020000000000001
MPM_p_0.15_nVertices_100_maxValue_80.txt,MPM,0.15,100,80,0.0004992
EK_p_0.15_nVertices_100_maxValue_80.txt,EK,0.15,100,80,0.00019979999999999998
Dinic_p_0.15_nVertices_100_maxValue_80.txt,Dinic,0.15,100,80,9.98e-05
MPM_p_0.15_nVertices_100_maxValue_130.txt,MPM,0.15,100,130,0.0001996
EK_p_0.15_nVertices_100_maxValue_130.txt,EK,0.15,100,130,0.0
Dinic_p_0.15_nVertices_100_maxValue_130.txt,Dinic,0.15,100,130,0.0
MPM_p_0.15_nVertices_100_maxValue_210.txt,MPM,0.15,100,210,0.00019979999999999998
EK_p_0.15_nVertices_100_maxValue_210.txt,EK,0.15,100,210,0.0002
Dinic_p_0.15_nVertices_100_maxValue_210.txt,Dinic,0.15,100,210,0.0
MPM_p_0.15_nVertices_100_maxValue_340.txt,MPM,0.15,100,340,0.00039959999999999996
EK_p_0.15_nVertices_100_maxValue_340.txt,EK,0.15,100,340,9.98e-05
Dinic_p_0.15_nVertices_100_maxValue_340.txt,Dinic,0.15,100,340,0.0
MPM_p_0.15_nVertices_100_maxValue_500.txt,MPM,0.15,100,500,0.0003992
EK_p_0.15_nVertices_100_maxValue_500.txt,EK,0.15,100,500,0.0002
Dinic_p_0.15_nVertices_100_maxValue_500.txt,Dinic,0.15,100,500,0.0001
MPM_p_0.15_nVertices_200_maxValue_10.txt,MPM,0.15,200,10,0.0011001999999999997
EK_p_0.15_nVertices_200_maxValue_10.txt,EK,0.15,200,10,0.0009002
Dinic_p_0.15_nVertices_200_maxValue_10.txt,Dinic,0.15,200,10,0.00020040000000000002
MPM_p_0.15_nVertices_200_maxValue_20.txt,MPM,0.15,200,20,0.0007002
EK_p_0.15_nVertices_200_maxValue_20.txt,EK,0.15,200,20,0.0011002
Dinic_p_0.15_nVertices_200_maxValue_20.txt,Dinic,0.15,200,20,0.00030000000000000003
MPM_p_0.15_nVertices_200_maxValue_30.txt,MPM,0.15,200,30,0.0012004000000000001
EK_p_0.15_nVertices_200_maxValue_30.txt,EK,0.15,200,30,0.0012000000000000001
Dinic_p_0.15_nVertices_200_maxValue_30.txt,Dinic,0.15,200,30,0.0004004000000000001
MPM_p_0.15_nVertices_200_maxValue_50.txt,MPM,0.15,200,50,0.0012000000000000001
EK_p_0.15_nVertices_200_maxValue_50.txt,EK,0.15,200,50,0.0011998000000000002
Dinic_p_0.15_nVertices_200_maxValue_50.txt,Dinic,0.15,200,50,0.0002
MPM_p_0.15_nVertices_200_maxValue_80.txt,MPM,0.15,200,80,0.0013004
EK_p_0.15_nVertices_200_maxValue_80.txt,EK,0.15,200,80,0.0013002
Dinic_p_0.15_nVertices_200_maxValue_80.txt,Dinic,0.15,200,80,0.0
MPM_p_0.15_nVertices_200_maxValue_130.txt,MPM,0.15,200,130,0.0009998
EK_p_0.15_nVertices_200_maxValue_130.txt,EK,0.15,200,130,0.0016006
